id,title,mint,country,source_url,official_status,http_status,official_mintage,official_mintage_display,official_raw
4317,Australian Kookaburra 2022 5oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/australian-kookaburra-2022-5oz-gold-proof-high-relief-coin,found,200,50,50,50
4320,Australian Kookaburra 2023 2oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kookaburra-2023-2oz-gold-proof-high-relief-coin,found,200,125,125,125
4322,Australian Kookaburra 2023 5oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kookaburra-2023-5oz-gold-proof-high-relief-coin,found,200,50,50,50
4325,Australian Kookaburra 2024 2oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kookaburra-2024-2oz-gold-proof-high-relief-coin,found,200,125,125,125
4327,Australian Kookaburra 2024 5oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-kookaburra-2024-5oz-gold-proof-high-relief-coin,found,200,50,50,50
4348,Australian Swan 2021 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-swan-2021-1oz-gold-proof-high-relief-coin,found,200,188,188,188
4351,Australian Swan 2022 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/australian-swan-2022-1oz-gold-proof-high-relief-coin,found,200,188,188,188
4355,Australian Swan 2023 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-swan-2023-1oz-gold-proof-high-relief-coin,found,200,188,188,188
4359,Australian Swan 2024 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-swan-2024-1oz-gold-proof-high-relief-coin,found,200,188,188,188
4363,Australian Swan 2025 1oz Gold Proof High Relief Coin,The Perth Mint,Австралия,https://www.perthmint.com/shop/collector-coins/coins/australian-swan-2025-1oz-gold-proof-high-relief-coin,found,200,188,188,188
